plate_id,well_id,value,replicate_idx
P01,A01,1.0080929606204152,1
P01,A12,1.0357276704759073,1
P01,H01,0.9596596018634945,1
P01,H12,1.0605781620744659,1
P01,A02,0.7548905175206663,1
P01,A03,1.4793201203665414,1
P01,A04,1.1761459560640415,1
P01,A05,0.8577500133610871,1
P01,A06,0.6289348830709681,1
P01,A07,0.7374442498929209,1
P01,A08,1.6199952705294638,1
P01,A09,0.539829814969703,1
P01,A10,0.5190346017333821,1
P01,A11,0.7154739565200714,1
P01,B01,0.3836616597677644,1
P01,B02,1.60058174934929,1
P01,B03,1.908678660199268,1
P01,B04,0.7067493239171718,1
P01,B05,1.1967106874659306,1
P01,B06,2.9279170443421414,1
P01,B07,1.3412817543557705,1
P01,B08,1.073264184841648,1
P01,B09,0.63425658866443,1
P01,B10,0.8610021477663468,1
P01,B11,0.4121277794047463,1
P01,B12,1.09551514678248,1
P01,C01,0.6595669800286664,1
P01,C02,2.3921942471742375,1
P01,C03,0.8128067859961643,1
P01,C04,1.780753834083125,1
P01,C05,0.6819769671117337,1
P01,C06,0.5618114570858609,1
P01,C07,2.7596240722562513,1
P01,C08,0.6383157274895005,1
P01,C09,0.7093023453616067,1
P01,C10,1.4402017710596677,1
P01,C11,1.152617552809005,1
P01,C12,0.916896312470005,1
P01,D01,0.6389492738017063,1
P01,D02,0.7297347619987583,1
P01,D03,1.6316042093229102,1
P01,D04,0.5465356366818948,1
P01,D05,0.49776049150204354,1
P01,D06,0.7495275285141431,1
P01,D07,0.3842234794838507,1
P01,D08,1.5883943720850728,1
P01,D09,0.8970445212747113,1
P01,D10,0.684348202394194,1
P01,D11,1.166140970158493,1
P01,D12,2.9085615144100796,1
P01,E01,1.3418714620956718,1
P01,E02,1.123794179903072,1
P01,E03,0.673406834576356,1
P01,E04,0.9022730385418635,1
P01,E05,0.4080262831785468,1
P01,E06,1.0795645838448862,1
P01,E07,0.6609699547354144,1
P01,E08,2.409161491872615,1
P01,E09,0.8463691586032083,1
P01,E10,1.8212854485063836,1
P01,E11,0.6704803844466689,1
P01,E12,0.5595549092006789,1
P01,F01,2.7019906652553605,1
P01,F02,0.6324472481332224,1
P01,F03,0.7616790679896297,1
P01,F04,1.3123534960739909,1
P01,F05,1.1473190806175173,1
P01,F06,0.8744426929237379,1
P01,F07,0.6486207119457,1
P01,F08,0.7073255593014979,1
P01,F09,1.5999472524610363,1
P01,F10,0.5105820271528939,1
P01,F11,0.4843259421074804,1
P01,F12,0.6977363211223835,1
P01,G01,0.38092503863293004,1
P01,G02,1.633695090775068,1
P01,G03,0.8803594245130534,1
P01,G04,0.7048551774287009,1
P01,G05,0.6822236430647728,1
P01,G06,2.8143680474142747,1
P01,G07,1.2992348594764,1
P01,G08,1.1557700025579456,1
P01,G09,0.6117132039304155,1
P01,G10,0.8203190726547333,1
P01,G11,0.4079386472673661,1
P01,G12,1.0513213094470866,1
P01,H02,0.6264987553233244,1
P01,H03,2.339389114017507,1
P01,H04,0.8432528497570998,1
P01,H05,1.865815892150613,1
P01,H06,0.7148118329964007,1
P01,H07,0.5798555827580549,1
P01,H08,2.604310624098456,1
P01,H09,0.6682772578710838,1
P01,H10,0.7686355157742761,1
P01,H11,1.4770609766719798,1
